ent_nm,parent_id,contract_id,issuer_id,ptf,account,isin,comments,ann_type,fix_type,rtg,ccy_nm,nominal,deal_date,maturity_date,acc_int,internal_rate,rate_mult,rate_add,first_ann_date,ann_freq,first_fix_date,fix_freq,crv_disc,crv_fwd
kbc,9,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,10,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,11,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,12,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,13,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,14,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,15,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,16,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,17,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,18,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,19,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,20,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,21,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,22,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,23,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,24,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,25,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,26,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,27,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,28,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,29,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,30,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,31,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,32,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,33,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,34,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,35,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,36,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,37,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,38,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,39,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,40,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,41,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,42,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,43,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,44,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,45,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,46,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,47,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,48,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,49,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,50,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,51,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,52,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,53,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,54,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,55,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,56,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,57,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,58,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,59,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,60,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,61,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,62,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,63,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,64,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,65,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,66,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,67,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,68,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,69,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,70,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,71,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,72,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,73,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,74,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,75,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,76,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,77,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,78,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,79,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,80,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,81,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,82,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,83,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,84,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,85,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,86,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,87,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,88,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,89,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,90,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,91,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,92,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,93,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,94,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,95,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,96,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,97,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,98,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,99,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,100,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,101,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,102,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,103,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,104,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,105,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,106,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,107,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,108,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,109,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,110,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,111,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,112,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,113,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,114,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,115,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,116,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,117,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,118,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,119,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,120,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,121,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,122,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,123,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,124,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,125,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,126,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,127,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,128,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,129,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
kbc,130,0,n/a,ann,/assets/mortgages,ANN02,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20310630,10Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,131,0,n/a,ann,/assets/mortgages,ANN03,n/a,ANN,par,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,20260630,5Y,INTERBCRV.EUR,INTERBCRV.EUR
kbc,132,0,n/a,ann,/assets/mortgages,ANN01,n/a,ANN,fix,--na--,eur,1000,20210630,20410630,,0.01,1,0.01,20220630,1M,,,INTERBCRV.EUR,
